Player,Team,Position,PTS_final,REB_final,AST_final,PTS_adj,REB_adj,AST_adj,PTS_bonus,REB_bonus,AST_bonus,TS%,eFG%,USG_proxy,MPG
Shai Gilgeous-Alexander,OKC,G,34.146350310559,4.506857142857142,6.967714285714286,34.49126293995859,4.552380952380951,7.038095238095238,0.0,0.0,0.0,0.605,0.5402298850574713,0.1414682539682539,33.95238095238095
Nikola Jokic,DEN,C-F,34.10855403726709,12.634285714285715,10.032,34.45308488612837,12.761904761904765,10.133333333333336,0.0,0.0,0.0,0.647,0.6140625,0.1602380952380952,38.457142857142856
Luka Doncic,LAL,G-F,30.699756521739133,7.712571428571428,7.316571428571429,31.00985507246377,7.790476190476189,7.39047619047619,0.0,0.0,0.0,0.622,0.5585284280936454,0.1459126984126984,35.01904761904762
Giannis Antetokounmpo,MIL,F-G,32.138080993788826,11.399142857142856,7.712571428571429,32.46270807453417,11.514285714285714,7.790476190476191,0.0,0.0,0.0,0.638,0.5970149253731343,0.1423015873015873,34.15238095238095
Ja Morant,MEM,G,26.746184347826084,3.96,6.854571428571429,27.01634782608696,4.0,6.923809523809524,0.0,0.0,0.0,0.584,0.5303951367781155,0.1358730158730158,32.60952380952381
Paolo Banchero,ORL,F,27.750007453416146,7.854000000000001,4.638857142857144,28.030310559006207,7.933333333333334,4.685714285714286,0.0,0.0,0.0,0.57,0.5195783132530121,0.1462698412698412,35.10476190476191
Cade Cunningham,DET,G,29.25047850931677,5.468571428571429,8.382000000000001,29.54593788819876,5.523809523809524,8.466666666666669,0.0,0.0,0.0,0.597,0.5517241379310345,0.1424603174603174,34.19047619047619
Anthony Edwards,MIN,G-F,29.92384248447205,5.119714285714285,4.403142857142857,30.22610351966874,5.171428571428571,4.447619047619048,0.0,0.0,0.0,0.613,0.5618729096989966,0.1488888888888889,35.733333333333334
Quentin Grimes,PHI,G,24.45228670807454,4.714285714285714,4.695428571428573,24.6992795031056,4.761904761904762,4.742857142857144,0.0,0.0,0.0,0.603,0.5603448275862069,0.1376587301587301,33.03809523809524
Coby White,CHI,G,28.76468571428572,4.261714285714287,4.280571428571429,29.0552380952381,4.3047619047619055,4.323809523809524,0.0,0.0,0.0,0.667,0.6007905138339921,0.143531746031746,34.44761904761905
Jayson Tatum,BOS,F,25.51669863354037,7.976571428571429,6.590571428571431,25.7744430641822,8.057142857142857,6.657142857142858,0.0,0.0,0.0,0.563,0.512779552715655,0.1521825396825397,36.523809523809526
Kevin Durant,PHO,F-G,29.112083478260875,5.855142857142858,4.252285714285716,29.40614492753624,5.914285714285715,4.295238095238096,0.0,0.0,0.0,0.652,0.6030534351145038,0.1524206349206349,36.58095238095238
Zion Williamson,NOP,F-C,27.77076670807454,6.845142857142858,5.402571428571428,28.0512795031056,6.914285714285715,5.457142857142856,0.0,0.0,0.0,0.642,0.6195219123505976,0.1192460317460317,28.61904761904762
Jalen Brunson,NYK,G,27.30983254658385,2.772,6.666000000000001,27.58568944099379,2.8000000000000003,6.733333333333334,0.0,0.0,0.0,0.603,0.5467625899280576,0.1489285714285714,35.74285714285715
Tyrese Maxey,PHI,G,25.913551304347823,2.951142857142857,6.392571428571429,26.175304347826085,2.980952380952381,6.457142857142857,0.0,0.0,0.0,0.573,0.5182724252491694,0.1572619047619047,37.74285714285715
Kawhi Leonard,LAC,F,25.774992298136656,6.666,3.2717142857142867,26.03534575569359,6.733333333333333,3.304761904761905,0.0,0.0,0.0,0.628,0.5971223021582733,0.1417063492063492,34.00952380952381
Trae Young,ATL,G,26.804215155279508,2.9040000000000004,11.634857142857143,27.07496480331264,2.9333333333333336,11.752380952380951,0.0,0.0,0.0,0.607,0.539622641509434,0.1496428571428571,35.91428571428572
Karl-Anthony Towns,NYK,C-F,26.267737639751555,11.031428571428574,2.828571428571429,26.533068322981368,11.142857142857144,2.8571428571428577,0.0,0.0,0.0,0.626,0.5852272727272727,0.1463492063492063,35.12380952380953
Kyrie Irving,DAL,G,24.57571080745341,5.02542857142857,4.044857142857143,24.823950310559,5.076190476190475,4.085714285714286,0.0,0.0,0.0,0.569,0.5134680134680135,0.1520634920634921,36.4952380952381
Devin Booker,PHO,G,24.544129192546585,4.101428571428571,7.79742857142857,24.79204968944099,4.142857142857142,7.876190476190475,0.0,0.0,0.0,0.57,0.515358361774744,0.1551984126984127,37.24761904761905
Deni Avdija,POR,G-F,24.53581565217392,9.155142857142856,4.846285714285714,24.78365217391304,9.247619047619049,4.895238095238095,0.0,0.0,0.0,0.637,0.5897959183673469,0.14,33.6
Stephen Curry,GSW,G,27.33192000000001,4.261714285714286,5.46857142857143,27.608000000000008,4.304761904761905,5.523809523809525,0.0,0.0,0.0,0.609,0.5526315789473685,0.1346428571428571,32.31428571428572
Austin Reaves,LAL,G,27.13785540372672,4.723714285714285,5.0914285714285725,27.41197515527951,4.771428571428571,5.142857142857143,0.0,0.0,0.0,0.678,0.6314655172413793,0.149563492063492,35.89523809523809
Tyler Herro,MIA,G,26.631368944099385,4.422000000000001,5.091428571428571,26.900372670807457,4.466666666666667,5.142857142857142,0.0,0.0,0.0,0.645,0.5943775100401606,0.1449603174603174,34.79047619047619
James Harden,LAC,G,26.8130698136646,5.638285714285713,8.712,27.083908902691512,5.695238095238095,8.799999999999999,0.0,0.0,0.0,0.641,0.5668103448275862,0.1516269841269841,36.39047619047619
Jalen Williams,OKC,G,24.776301614906835,4.808571428571428,5.016,25.02656728778468,4.857142857142856,5.066666666666666,0.0,0.0,0.0,0.619,0.572,0.133015873015873,31.923809523809528
Damian Lillard,MIL,G,26.21451130434783,4.742571428571429,6.288857142857144,26.47930434782609,4.79047619047619,6.352380952380953,0.0,0.0,0.0,0.624,0.5464135021097046,0.1487698412698412,35.7047619047619
DeMar DeRozan,SAC,G-F,21.20047900621118,3.959999999999999,5.657142857142857,21.41462525879917,3.999999999999999,5.7142857142857135,0.0,0.0,0.0,0.526,0.46875,0.1523412698412698,36.56190476190476
OG Anunoby,NYK,F,23.64187229813665,4.836857142857142,2.4891428571428573,23.88067908902692,4.885714285714285,2.5142857142857142,0.0,0.0,0.0,0.622,0.58,0.1503968253968254,36.095238095238095
LeBron James,LAL,F-G,24.62406708074534,7.505142857142857,6.986571428571429,24.8727950310559,7.580952380952381,7.057142857142857,0.0,0.0,0.0,0.585,0.5363984674329502,0.1469444444444444,35.266666666666666
Donovan Mitchell,CLE,G,21.72834782608696,4.959428571428572,5.657142857142858,21.947826086956525,5.00952380952381,5.714285714285715,0.0,0.0,0.0,0.525,0.4490909090909091,0.1334920634920635,32.03809523809524
Jamal Murray,DEN,G,23.571100621118013,3.828,6.043714285714287,23.809192546583848,3.866666666666666,6.104761904761905,0.0,0.0,0.0,0.594,0.5424710424710425,0.1545238095238095,37.08571428571428
Franz Wagner,ORL,G-F,21.37432546583852,5.996571428571428,4.450285714285714,21.590227743271228,6.057142857142857,4.495238095238095,0.0,0.0,0.0,0.542,0.4893617021276595,0.143015873015873,34.32380952380952
Zach LaVine,SAC,G-F,24.510481490683222,3.526285714285715,3.828,24.75806211180124,3.5619047619047626,3.866666666666666,0.0,0.0,0.0,0.627,0.5991902834008097,0.1553968253968254,37.2952380952381
Shaedon Sharpe,POR,G,20.03038509316772,5.864571428571429,3.290571428571429,20.23271221532092,5.923809523809524,3.323809523809524,0.0,0.0,0.0,0.55,0.5183150183150184,0.138968253968254,33.352380952380955
Anthony Davis,DAL,F-C,21.84060521739131,11.267142857142856,3.658285714285714,22.06121739130436,11.38095238095238,3.695238095238095,0.0,0.0,0.0,0.558,0.5153846153846153,0.1298412698412698,31.161904761904765
