Player,Team,Position,PTS_final,REB_final,AST_final,PTS_adj,REB_adj,AST_adj,PTS_bonus,REB_bonus,AST_bonus,TS%,eFG%,USG_proxy,MPG,PTS_playoff_x,REB_playoff_x,AST_playoff_x,MPG_playoff_x,PTS_playoff_y,REB_playoff_y,AST_playoff_y,MPG_playoff_y,PTS_playoff,REB_playoff,AST_playoff,MPG_playoff
Shai Gilgeous-Alexander,OKC,G,34.146350310559,4.506857142857142,6.967714285714286,19.219066993788818,2.856552857142857,3.993265714285714,0.0,0.0,0.0,0.605,0.5402298850574713,0.1414682539682539,7.257321428571428,15.0,3.0,5.0,,27.0,8.0,5.0,,,,,
Nikola Jokic,DEN,C-F,34.10855403726709,12.634285714285715,10.032,16.790710919254664,6.219514285714286,4.938480000000003,0.0,0.0,0.0,0.647,0.6140625,0.1602380952380952,8.220214285714285,,,,,,,,,,,,
Luka Doncic,LAL,G-F,30.699756521739133,7.712571428571428,7.316571428571429,15.112652869565213,3.7966885714285707,3.601748571428571,0.0,0.0,0.0,0.622,0.5585284280936454,0.1459126984126984,7.485321428571428,,,,,,,,,,,,
Giannis Antetokounmpo,MIL,F-G,32.138080993788826,11.399142857142856,7.712571428571429,31.456100780124228,14.573287142857142,8.419338571428572,0.0,0.0,0.0,0.638,0.5970149253731343,0.1423015873015873,7.30007142857143,36.0,12.0,1.0,,34.0,18.0,7.0,,30.0,20.0,13.0,
Ja Morant,MEM,G,26.746184347826084,3.96,6.854571428571429,15.44146711304348,2.2273500000000004,3.9449185714285715,0.0,0.0,0.0,0.584,0.5303951367781155,0.1358730158730158,6.970285714285713,17.0,3.0,4.0,,23.0,2.0,6.0,,,,,
Paolo Banchero,ORL,F,27.750007453416146,7.854000000000001,4.638857142857144,26.875971850931673,8.285459999999999,4.864182857142858,0.0,0.0,0.0,0.57,0.5195783132530121,0.1462698412698412,7.503642857142858,36.0,11.0,4.0,,32.0,9.0,7.0,,19.0,9.0,6.0,
Cade Cunningham,DET,G,29.25047850931677,5.468571428571429,8.382000000000001,27.23486282981367,7.2279285714285715,8.438030000000001,0.0,0.0,0.0,0.597,0.5517241379310345,0.1424603174603174,7.308214285714286,21.0,6.0,12.0,,33.0,12.0,3.0,,24.0,8.0,8.0,
Anthony Edwards,MIN,G-F,29.92384248447205,5.119714285714285,4.403142857142857,27.58899155031056,7.401495714285714,5.541397142857143,0.0,0.0,0.0,0.613,0.5618729096989966,0.1488888888888889,7.638,22.0,8.0,9.0,,25.0,6.0,0.0,,15.0,11.0,8.0,
Quentin Grimes,PHI,G,24.45228670807454,4.714285714285714,4.695428571428573,12.037193865838516,2.320714285714287,2.311431428571429,0.0,0.0,0.0,0.603,0.5603448275862069,0.1376587301587301,7.061892857142856,,,,,,,,,,,,
Coby White,CHI,G,28.76468571428572,4.261714285714287,4.280571428571429,14.16007028571429,2.0979257142857146,2.1072085714285715,0.0,0.0,0.0,0.667,0.6007905138339921,0.143531746031746,7.363178571428572,,,,,,,,,,,,
Jayson Tatum,BOS,F,25.51669863354037,7.976571428571429,6.590571428571431,27.7562248273292,8.763748571428572,6.404958571428573,0.0,0.0,0.0,0.563,0.512779552715655,0.1521825396825397,7.806964285714286,17.0,14.0,4.0,,,,,,35.0,8.0,10.0,
Kevin Durant,PHO,F-G,29.112083478260875,5.855142857142858,4.252285714285716,14.331084730434785,2.882327142857143,2.093284285714286,0.0,0.0,0.0,0.652,0.6030534351145038,0.1524206349206349,7.819178571428571,,,,,,,,,,,,
Zion Williamson,NOP,F-C,27.77076670807454,6.845142857142858,5.402571428571428,13.670791065838511,3.369677142857143,2.6595385714285706,0.0,0.0,0.0,0.642,0.6195219123505976,0.1192460317460317,6.11732142857143,,,,,,,,,,,,
Jalen Brunson,NYK,G,27.30983254658385,2.772,6.666000000000001,26.25398574906832,3.1498800000000005,7.522690000000001,0.0,0.0,0.0,0.603,0.5467625899280576,0.1489285714285714,7.640035714285714,34.0,2.0,8.0,,37.0,3.0,7.0,,16.0,3.0,7.0,
