Team,PG_PTS,PG_REB,PG_AST,PG_3PM,PG_STL,PG_BLK,PG_TO,PG_FG%,PG_FT%,SG_PTS,SG_REB,SG_AST,SG_3PM,SG_STL,SG_BLK,SG_TO,SG_FG%,SG_FT%,SF_PTS,SF_REB,SF_AST,SF_3PM,SF_STL,SF_BLK,SF_TO,SF_FG%,SF_FT%,PF_PTS,PF_REB,PF_AST,PF_3PM,PF_STL,PF_BLK,PF_TO,PF_FG%,PF_FT%,C_PTS,C_REB,C_AST,C_3PM,C_STL,C_BLK,C_TO,C_FG%,C_FT%
Atlanta Hawks,17.0,13.0,26.0,7.0,13.0,6.0,20.0,3.0,4.0,6.0,12.0,9.0,14.0,4.0,24.0,9.0,9.0,15.0,5.0,16.0,1.0,21.0,8.0,29.0,6.0,19.0,14.0,2.0,17.0,7.0,4.0,13.0,6.0,1.0,7.0,9.0,25.0,30.0,27.0,22.0,16.0,8.0,23.0,5.0,22.0
Brooklyn Nets,23.0,8.0,2.0,24.0,1.0,23.0,7.0,24.0,8.0,25.0,3.0,8.0,26.0,6.0,5.0,11.0,28.0,25.0,12.0,13.0,25.0,18.0,29.0,12.0,22.0,2.0,5.0,20.0,13.0,6.0,26.0,24.0,11.0,6.0,25.0,17.0,2.0,9.0,30.0,25.0,30.0,3.0,26.0,1.0,14.0
Boston Celtics,22.0,16.0,24.0,11.0,26.0,29.0,25.0,25.0,29.0,29.0,26.0,28.0,16.0,15.0,27.0,24.0,19.0,22.0,16.0,15.0,8.0,24.0,12.0,16.0,26.0,28.0,23.0,28.0,30.0,29.0,12.0,23.0,30.0,30.0,27.0,29.0,29.0,21.0,25.0,29.0,28.0,30.0,18.0,27.0,4.0
Charlotte Hornets,3.0,5.0,19.0,12.0,10.0,5.0,26.0,2.0,1.0,11.0,22.0,10.0,5.0,3.0,1.0,29.0,1.0,19.0,6.0,6.0,9.0,4.0,5.0,2.0,30.0,25.0,2.0,18.0,24.0,15.0,2.0,10.0,26.0,28.0,20.0,21.0,15.0,1.0,6.0,8.0,10.0,28.0,25.0,26.0,25.0
Chicago Bulls,1.0,19.0,5.0,2.0,20.0,8.0,18.0,6.0,12.0,5.0,27.0,11.0,3.0,27.0,23.0,23.0,10.0,2.0,26.0,7.0,5.0,22.0,9.0,3.0,17.0,22.0,30.0,22.0,6.0,4.0,27.0,22.0,10.0,9.0,29.0,18.0,14.0,20.0,20.0,28.0,4.0,10.0,28.0,21.0,23.0
Cleveland Cavaliers,30.0,15.0,20.0,21.0,8.0,13.0,28.0,30.0,14.0,18.0,28.0,13.0,17.0,26.0,30.0,16.0,20.0,12.0,1.0,20.0,21.0,1.0,14.0,28.0,5.0,17.0,12.0,6.0,7.0,12.0,3.0,16.0,16.0,12.0,14.0,16.0,21.0,5.0,29.0,27.0,22.0,6.0,14.0,23.0,24.0
Dallas Mavericks,19.0,17.0,7.0,25.0,15.0,21.0,12.0,15.0,17.0,16.0,1.0,20.0,24.0,25.0,14.0,26.0,15.0,17.0,2.0,19.0,23.0,19.0,1.0,25.0,13.0,6.0,1.0,10.0,14.0,13.0,16.0,26.0,28.0,15.0,5.0,22.0,7.0,17.0,5.0,23.0,1.0,17.0,21.0,10.0,27.0
Denver Nuggets,13.0,29.0,12.0,6.0,17.0,3.0,8.0,23.0,23.0,1.0,5.0,4.0,12.0,22.0,13.0,18.0,6.0,13.0,15.0,25.0,10.0,15.0,3.0,15.0,23.0,29.0,19.0,24.0,16.0,17.0,17.0,4.0,13.0,19.0,13.0,15.0,18.0,26.0,21.0,16.0,11.0,23.0,30.0,16.0,26.0
Detroit Pistons,10.0,21.0,30.0,23.0,7.0,19.0,19.0,27.0,21.0,8.0,23.0,30.0,6.0,7.0,10.0,19.0,18.0,24.0,21.0,17.0,27.0,25.0,24.0,7.0,16.0,13.0,18.0,19.0,12.0,9.0,28.0,29.0,4.0,8.0,19.0,13.0,20.0,2.0,3.0,30.0,26.0,1.0,2.0,28.0,1.0
Golden State Warriors,29.0,20.0,18.0,29.0,22.0,7.0,1.0,28.0,22.0,28.0,15.0,27.0,18.0,17.0,11.0,3.0,7.0,30.0,22.0,12.0,13.0,14.0,22.0,11.0,7.0,14.0,7.0,13.0,21.0,19.0,18.0,3.0,8.0,4.0,16.0,8.0,11.0,7.0,19.0,11.0,29.0,24.0,6.0,12.0,11.0
